memory_budget,exemplar_size,T,batch_size,class_increment,train_accuracy,test_accuracy,average_accuracy
2000,50,10,256,5,92.72,86.45,88.63
2000,100,2,32,1,97.17,96.65,88.63
2000,100,2,32,2,93.82,77.1,88.63
2000,100,2,32,3,93.68,88.15,88.63
2000,100,2,32,4,93.84,88.5,88.63
2000,100,2,32,5,94.33,93.55,88.63
2000,100,2,64,1,98.28,94.35,88.63
2000,100,2,64,2,95.83,84.05,88.63
2000,100,2,64,3,96.39,75.8,88.63
2000,100,2,64,4,96.54,90.95,88.63
2000,100,2,64,5,96.33,93.65,88.63
2000,100,2,128,1,97.05,97.2,88.63
2000,100,2,128,2,97.82,83.15,88.63
2000,100,2,128,3,97.78,86.3,88.63
2000,100,2,128,4,95.45,93.15,88.63
2000,100,2,128,5,95.35,90.85,88.63
2000,100,2,256,1,99.05,96.75,88.63
2000,100,2,256,2,97.94,76.75,88.63
2000,100,2,256,3,98.75,88.5,88.63
2000,100,2,256,4,96.69,90.15,88.63
2000,100,2,256,5,96.66,92.8,88.63
2000,100,5,32,1,96.9,96.8,88.63
2000,100,5,32,2,93.28,84.9,88.63
2000,100,5,32,3,93.65,69.2,88.63
2000,100,5,32,4,95.38,93.75,88.63
2000,100,5,32,5,94.29,90.6,88.63
2000,100,5,64,1,97.99,95.15,88.63
2000,100,5,64,2,96.78,84.1,88.63
2000,100,5,64,3,94.87,85.05,88.63
2000,100,5,64,4,93.47,81.55,88.63
2000,100,5,64,5,92.58,93.55,88.63
2000,100,5,128,1,98.97,92.6,88.63
2000,100,5,128,2,95.99,79.6,88.63
2000,100,5,128,3,96.49,87.95,88.63
2000,100,5,128,4,94.53,91.0,88.63
2000,100,5,128,5,94.14,92.7,88.63
2000,100,5,256,1,99.51,97.15,88.63
2000,100,5,256,2,98.28,80.75,88.63
2000,100,5,256,3,96.79,83.1,88.63
2000,100,5,256,4,95.47,91.25,88.63
2000,100,5,256,5,94.08,91.25,88.63
2000,100,10,32,1,96.64,96.5,88.63
2000,100,10,32,2,93.63,80.2,88.63
2000,100,10,32,3,93.69,86.3,88.63
2000,100,10,32,4,94.19,90.55,88.63
2000,100,10,32,5,95.42,90.95,88.63
2000,100,10,64,1,97.99,97.2,88.63
2000,100,10,64,2,96.42,84.95,88.63
2000,100,10,64,3,94.56,83.7,88.63
2000,100,10,64,4,93.74,91.4,88.63
2000,100,10,64,5,93.95,92.55,88.63
2000,100,10,128,1,98.81,96.35,88.63
2000,100,10,128,2,97.23,75.15,88.63
2000,100,10,128,3,95.83,86.2,88.63
2000,100,10,128,4,96.42,86.65,88.63
2000,100,10,128,5,96.25,93.35,88.63
2000,100,10,256,1,97.49,96.1,88.63
2000,100,10,256,2,98.24,69.9,88.63
2000,100,10,256,3,94.18,78.7,88.63
2000,100,10,256,4,94.04,90.95,88.63
2000,100,10,256,5,94.51,88.25,88.63
2000,200,2,32,1,96.82,95.5,88.63
2000,200,2,32,2,94.07,83.9,88.63
2000,200,2,32,3,93.63,85.55,88.63
2000,200,2,32,4,95.14,82.05,88.63
2000,200,2,32,5,94.98,94.7,88.63
2000,200,2,64,1,98.19,90.4,88.63
2000,200,2,64,2,95.7,79.3,88.63
2000,200,2,64,3,96.44,89.25,88.63
2000,200,2,64,4,95.75,89.05,88.63
2000,200,2,64,5,96.39,92.85,88.63
2000,200,2,128,1,98.92,94.3,88.63
2000,200,2,128,2,97.6,79.25,88.63
2000,200,2,128,3,97.22,82.95,88.63
2000,200,2,128,4,97.18,93.2,88.63
2000,200,2,128,5,95.94,87.9,88.63
2000,200,2,256,1,93.69,94.9,88.63
2000,200,2,256,2,97.58,73.7,88.63
2000,200,2,256,3,97.22,83.95,88.63
2000,200,2,256,4,96.61,92.25,88.63
2000,200,2,256,5,95.52,91.55,88.63
2000,200,5,32,1,96.83,95.05,88.63
2000,200,5,32,2,93.9,72.9,88.63
2000,200,5,32,3,92.42,88.3,88.63
2000,200,5,32,4,94.3,95.9,88.63
2000,200,5,32,5,92.82,92.5,88.63
2000,200,5,64,1,98.27,91.05,88.63
2000,200,5,64,2,95.51,82.8,88.63
2000,200,5,64,3,94.71,85.3,88.63
2000,200,5,64,4,95.2,86.45,88.63
2000,200,5,64,5,94.82,94.3,88.63
2000,200,5,128,1,98.52,97.0,88.63
2000,200,5,128,2,97.82,76.25,88.63
2000,200,5,128,3,94.73,76.65,88.63
2000,200,5,128,4,95.41,88.65,88.63
2000,200,5,128,5,94.8,92.2,88.63
2000,200,5,256,1,97.62,96.4,88.63
2000,200,5,256,2,98.68,82.85,88.63
2000,200,5,256,3,96.25,83.65,88.63
2000,200,5,256,4,95.82,85.7,88.63
2000,200,5,256,5,95.34,91.65,88.63
2000,200,10,32,1,97.13,95.3,88.63
2000,200,10,32,2,91.98,72.0,88.63
2000,200,10,32,3,93.41,88.0,88.63
2000,200,10,32,4,93.95,89.25,88.63
2000,200,10,32,5,94.5,92.2,88.63
2000,200,10,64,1,98.22,92.4,88.63
2000,200,10,64,2,96.42,78.9,88.63
2000,200,10,64,3,97.08,82.1,88.63
2000,200,10,64,4,95.76,90.45,88.63
2000,200,10,64,5,95.38,91.05,88.63
2000,200,10,128,1,98.65,96.35,88.63
2000,200,10,128,2,96.81,69.3,88.63
2000,200,10,128,3,97.94,77.8,88.63
2000,200,10,128,4,96.84,91.1,88.63
2000,200,10,128,5,95.88,91.2,88.63
2000,200,10,256,1,99.29,97.3,88.63
2000,200,10,256,2,97.56,78.65,88.63
2000,200,10,256,3,95.28,73.75,88.63
2000,200,10,256,4,96.72,87.6,88.63
2000,200,10,256,5,95.76,86.15,88.63
1500,20,2,32,1,97.25,86.35,88.63
1500,20,2,32,2,93.87,85.7,88.63
1500,20,2,32,3,94.4,88.2,88.63
1500,20,2,32,4,94.43,91.85,88.63
1500,20,2,32,5,94.5,94.0,88.63
1500,20,2,64,1,97.89,97.5,88.63
1500,20,2,64,2,96.36,84.3,88.63
1500,20,2,64,3,95.41,80.25,88.63
1500,20,2,64,4,95.88,90.7,88.63
1500,20,2,64,5,95.41,72.5,88.63
1500,20,2,128,1,98.54,96.65,88.63
1500,20,2,128,2,97.93,78.55,88.63
1500,20,2,128,3,97.31,72.6,88.63
1500,20,2,128,4,95.09,89.95,88.63
1500,20,2,128,5,97.38,92.75,88.63
1500,20,2,256,1,97.98,81.85,88.63
1500,20,2,256,2,97.23,81.75,88.63
1500,20,2,256,3,97.57,77.85,88.63
1500,20,2,256,4,96.73,93.3,88.63
1500,20,2,256,5,96.15,91.4,88.63
1500,20,5,32,1,97.27,96.55,88.63
1500,20,5,32,2,93.26,75.85,88.63
1500,20,5,32,3,94.13,86.65,88.63
1500,20,5,32,4,94.52,89.7,88.63
1500,20,5,32,5,95.76,95.25,88.63
1500,20,5,64,1,98.2,96.75,88.63
1500,20,5,64,2,96.84,72.85,88.63
1500,20,5,64,3,95.73,87.7,88.63
1500,20,5,64,4,95.54,91.3,88.63
1500,20,5,64,5,95.33,90.8,88.63
1500,20,5,128,1,99.07,96.95,88.63
1500,20,5,128,2,97.37,76.7,88.63
1500,20,5,128,3,97.03,83.05,88.63
1500,20,5,128,4,96.5,89.75,88.63
1500,20,5,128,5,96.38,90.3,88.63
1500,20,5,256,1,96.85,96.0,88.63
1500,20,5,256,2,98.65,84.1,88.63
1500,20,5,256,3,94.58,83.2,88.63
1500,20,5,256,4,96.29,85.95,88.63
1500,20,5,256,5,96.31,91.3,88.63
1500,20,10,32,1,96.68,95.9,88.63
1500,20,10,32,2,92.97,82.35,88.63
1500,20,10,32,3,93.11,78.6,88.63
1500,20,10,32,4,94.42,85.25,88.63
1500,20,10,32,5,96.2,94.1,88.63
1500,20,10,64,1,98.18,94.85,88.63
1500,20,10,64,2,96.18,82.1,88.63
1500,20,10,64,3,97.57,83.55,88.63
1500,20,10,64,4,96.64,94.35,88.63
1500,20,10,64,5,95.17,92.05,88.63
1500,20,10,128,1,98.48,96.95,88.63
1500,20,10,128,2,97.56,78.95,88.63
1500,20,10,128,3,96.03,81.8,88.63
1500,20,10,128,4,96.23,88.75,88.63
1500,20,10,128,5,96.89,89.35,88.63
1500,20,10,256,1,98.87,91.2,88.63
1500,20,10,256,2,95.53,79.8,88.63
1500,20,10,256,3,95.24,86.05,88.63
1500,20,10,256,4,96.88,91.7,88.63
1500,20,10,256,5,95.24,92.9,88.63
1500,50,2,32,1,96.6,96.6,88.63
1500,50,2,32,2,93.46,86.6,88.63
1500,50,2,32,3,93.69,90.3,88.63
1500,50,2,32,4,94.17,93.7,88.63
1500,50,2,32,5,94.8,93.95,88.63
1500,50,2,64,1,98.16,94.25,88.63
1500,50,2,64,2,96.19,83.9,88.63
1500,50,2,64,3,96.1,81.9,88.63
1500,50,2,64,4,96.0,91.3,88.63
1500,50,2,64,5,96.29,90.9,88.63
1500,50,2,128,1,97.71,95.0,88.63
1500,50,2,128,2,97.87,75.3,88.63
1500,50,2,128,3,97.43,85.4,88.63
1500,50,2,128,4,96.69,89.55,88.63
1500,50,2,128,5,95.44,93.6,88.63
1500,50,2,256,1,96.81,95.1,88.63
1500,50,2,256,2,98.75,81.55,88.63
1500,50,2,256,3,98.44,82.35,88.63
1500,50,2,256,4,97.82,93.1,88.63
1500,50,2,256,5,97.01,92.15,88.63
1500,50,5,32,1,97.1,96.3,88.63
1500,50,5,32,2,93.57,69.7,88.63
1500,50,5,32,3,90.3,81.95,88.63
1500,50,5,32,4,94.82,91.85,88.63
1500,50,5,32,5,94.99,93.55,88.63
1500,50,5,64,1,98.3,94.1,88.63
1500,50,5,64,2,95.36,82.2,88.63
1500,50,5,64,3,95.86,84.85,88.63
1500,50,5,64,4,95.97,94.45,88.63
1500,50,5,64,5,95.09,90.25,88.63
1500,50,5,128,1,98.26,96.95,88.63
1500,50,5,128,2,97.15,81.8,88.63
1500,50,5,128,3,98.02,77.1,88.63
1500,50,5,128,4,96.77,92.4,88.63
1500,50,5,128,5,96.35,91.75,88.63
1500,50,5,256,1,96.73,94.25,88.63
1500,50,5,256,2,97.23,80.35,88.63
1500,50,5,256,3,97.7,82.0,88.63
1500,50,5,256,4,96.63,90.55,88.63
1500,50,5,256,5,96.33,92.15,88.63
1500,50,10,32,1,97.29,96.25,88.63
1500,50,10,32,2,94.08,82.45,88.63
1500,50,10,32,3,93.76,86.05,88.63
1500,50,10,32,4,95.36,88.45,88.63
1500,50,10,32,5,94.89,91.5,88.63
1500,50,10,64,1,98.36,95.7,88.63
1500,50,10,64,2,96.12,83.85,88.63
1500,50,10,64,3,96.26,80.0,88.63
1500,50,10,64,4,96.64,93.15,88.63
1500,50,10,64,5,95.8,94.65,88.63
1500,50,10,128,1,98.19,96.6,88.63
1500,50,10,128,2,96.52,81.0,88.63
1500,50,10,128,3,96.56,81.85,88.63
1500,50,10,128,4,96.79,89.45,88.63
1500,50,10,128,5,96.73,85.2,88.63
1500,50,10,256,1,97.54,96.15,88.63
1500,50,10,256,2,97.65,80.2,88.63
1500,50,10,256,3,98.06,80.25,88.63
1500,50,10,256,4,97.96,89.55,88.63
1500,50,10,256,5,97.29,92.1,88.63
1500,100,2,32,1,97.21,95.1,88.63
1500,100,2,32,2,93.94,85.7,88.63
1500,100,2,32,3,94.28,89.85,88.63
1500,100,2,32,4,94.5,89.85,88.63
1500,100,2,32,5,95.28,94.95,88.63
1500,100,2,64,1,97.94,95.65,88.63
1500,100,2,64,2,96.9,84.3,88.63
1500,100,2,64,3,96.77,86.25,88.63
1500,100,2,64,4,96.97,93.1,88.63
1500,100,2,64,5,95.96,93.6,88.63
1500,100,2,128,1,99.1,95.45,88.63
1500,100,2,128,2,97.06,80.65,88.63
1500,100,2,128,3,96.39,86.25,88.63
1500,100,2,128,4,95.03,89.95,88.63
1500,100,2,128,5,96.69,93.85,88.63
1500,100,2,256,1,97.16,96.3,88.63
1500,100,2,256,2,97.05,68.7,88.63
1500,100,2,256,3,98.46,78.5,88.63
1500,100,2,256,4,96.54,93.05,88.63
1500,100,2,256,5,96.6,92.05,88.63
1500,100,5,32,1,97.36,96.65,88.63
1500,100,5,32,2,94.23,85.0,88.63
1500,100,5,32,3,94.15,92.55,88.63
1500,100,5,32,4,93.9,91.35,88.63
1500,100,5,32,5,94.8,90.6,88.63
1500,100,5,64,1,97.95,92.55,88.63
1500,100,5,64,2,95.8,82.8,88.63
1500,100,5,64,3,96.5,82.1,88.63
1500,100,5,64,4,95.94,93.8,88.63
1500,100,5,64,5,95.64,92.85,88.63
1500,100,5,128,1,99.04,97.15,88.63
1500,100,5,128,2,97.5,78.35,88.63
1500,100,5,128,3,97.76,88.65,88.63
1500,100,5,128,4,96.45,88.05,88.63
1500,100,5,128,5,96.43,92.0,88.63
1500,100,5,256,1,99.03,95.85,88.63
1500,100,5,256,2,98.94,80.9,88.63
1500,100,5,256,3,96.4,81.45,88.63
1500,100,5,256,4,96.27,84.7,88.63
1500,100,5,256,5,94.91,88.85,88.63
1500,100,10,32,1,97.01,96.85,88.63
1500,100,10,32,2,92.7,82.7,88.63
1500,100,10,32,3,92.97,86.85,88.63
1500,100,10,32,4,94.64,88.8,88.63
1500,100,10,32,5,95.28,90.7,88.63
1500,100,10,64,1,98.01,95.6,88.63
1500,100,10,64,2,96.21,78.8,88.63
1500,100,10,64,3,96.62,78.75,88.63
1500,100,10,64,4,96.37,94.8,88.63
1500,100,10,64,5,95.17,91.05,88.63
1500,100,10,128,1,97.41,94.45,88.63
1500,100,10,128,2,96.4,80.8,88.63
1500,100,10,128,3,96.36,80.35,88.63
1500,100,10,128,4,96.12,90.45,88.63
1500,100,10,128,5,96.41,92.15,88.63
1500,100,10,256,1,98.41,96.3,88.63
1500,100,10,256,2,96.59,79.5,88.63
1500,100,10,256,3,96.95,85.7,88.63
1500,100,10,256,4,95.85,90.2,88.63
1500,100,10,256,5,95.12,92.1,88.63
1500,200,2,32,1,97.35,95.85,88.63
1500,200,2,32,2,94.52,72.5,88.63
1500,200,2,32,3,94.54,83.8,88.63
1500,200,2,32,4,94.71,85.3,88.63
1500,200,2,32,5,95.56,81.4,88.63
1500,200,2,64,1,98.45,91.55,88.63
1500,200,2,64,2,96.12,71.55,88.63
1500,200,2,64,3,95.95,85.2,88.63
1500,200,2,64,4,94.75,89.2,88.63
1500,200,2,64,5,95.71,85.0,88.63
1500,200,2,128,1,97.68,94.9,88.63
1500,200,2,128,2,97.7,83.55,88.63
1500,200,2,128,3,97.07,87.55,88.63
1500,200,2,128,4,97.24,91.95,88.63
1500,200,2,128,5,96.22,91.9,88.63
1500,200,2,256,1,98.98,94.85,88.63
1500,200,2,256,2,99.03,80.7,88.63
1500,200,2,256,3,98.54,86.25,88.63
1500,200,2,256,4,97.1,92.45,88.63
1500,200,2,256,5,96.68,92.1,88.63
1500,200,5,32,1,96.97,97.6,88.63
1500,200,5,32,2,94.43,78.55,88.63
1500,200,5,32,3,92.63,88.05,88.63
1500,200,5,32,4,94.17,89.7,88.63
1500,200,5,32,5,95.76,93.35,88.63
1500,200,5,64,1,98.02,87.6,88.63
1500,200,5,64,2,96.02,83.45,88.63
1500,200,5,64,3,95.07,79.0,88.63
1500,200,5,64,4,95.83,89.4,88.63
1500,200,5,64,5,96.03,93.95,88.63
1500,200,5,128,1,99.16,97.5,88.63
1500,200,5,128,2,97.95,77.3,88.63
1500,200,5,128,3,97.02,86.3,88.63
1500,200,5,128,4,96.91,91.5,88.63
1500,200,5,128,5,96.41,92.1,88.63
1500,200,5,256,1,98.91,95.85,88.63
1500,200,5,256,2,97.86,68.9,88.63
1500,200,5,256,3,97.52,80.15,88.63
1500,200,5,256,4,97.7,89.55,88.63
1500,200,5,256,5,96.84,89.45,88.63
1500,200,10,32,1,97.21,97.0,88.63
1500,200,10,32,2,95.28,83.85,88.63
1500,200,10,32,3,94.26,87.1,88.63
1500,200,10,32,4,94.8,93.35,88.63
1500,200,10,32,5,95.4,95.8,88.63
1500,200,10,64,1,97.82,95.7,88.63
1500,200,10,64,2,96.08,82.45,88.63
1500,200,10,64,3,97.25,85.1,88.63
1500,200,10,64,4,96.69,95.2,88.63
1500,200,10,64,5,94.38,94.1,88.63
1500,200,10,128,1,99.14,97.0,88.63
1500,200,10,128,2,97.58,81.35,88.63
1500,200,10,128,3,96.98,80.95,88.63
1500,200,10,128,4,96.35,89.5,88.63
1500,200,10,128,5,96.92,91.65,88.63
1500,200,10,256,1,98.41,96.2,88.63
1500,200,10,256,2,97.83,81.05,88.63
1500,200,10,256,3,95.3,84.7,88.63
1500,200,10,256,4,96.42,90.5,88.63
1500,200,10,256,5,95.54,89.05,88.63
1000,20,2,32,1,97.09,96.9,88.63
1000,20,2,32,2,94.57,83.3,88.63
1000,20,2,32,3,95.81,89.85,88.63
1000,20,2,32,4,96.06,88.75,88.63
1000,20,2,32,5,95.65,93.0,88.63
1000,20,2,64,1,97.94,96.2,88.63
1000,20,2,64,2,97.25,74.45,88.63
1000,20,2,64,3,97.57,87.1,88.63
1000,20,2,64,4,97.3,85.5,88.63
1000,20,2,64,5,95.72,94.35,88.63
1000,20,2,128,1,98.22,97.75,88.63
1000,20,2,128,2,97.6,81.45,88.63
1000,20,2,128,3,98.28,80.1,88.63
1000,20,2,128,4,96.27,93.55,88.63
1000,20,2,128,5,97.17,93.8,88.63
1000,20,2,256,1,99.06,97.1,88.63
1000,20,2,256,2,98.98,81.1,88.63
1000,20,2,256,3,98.94,86.2,88.63
1000,20,2,256,4,98.24,93.15,88.63
1000,20,2,256,5,97.05,90.8,88.63
1000,20,5,32,1,96.87,96.3,88.63
1000,20,5,32,2,95.29,83.95,88.63
1000,20,5,32,3,95.72,86.05,88.63
1000,20,5,32,4,95.32,91.85,88.63
1000,20,5,32,5,95.25,86.4,88.63
1000,20,5,64,1,97.94,96.5,88.63
1000,20,5,64,2,96.29,83.05,88.63
1000,20,5,64,3,96.04,84.65,88.63
1000,20,5,64,4,96.97,90.2,88.63
1000,20,5,64,5,96.07,91.75,88.63
1000,20,5,128,1,98.31,96.9,88.63
1000,20,5,128,2,96.73,82.9,88.63
1000,20,5,128,3,96.35,80.8,88.63
1000,20,5,128,4,96.82,93.65,88.63
1000,20,5,128,5,96.49,90.45,88.63
1000,20,5,256,1,99.24,95.75,88.63
1000,20,5,256,2,96.98,79.15,88.63
1000,20,5,256,3,96.26,74.9,88.63
1000,20,5,256,4,97.84,88.0,88.63
1000,20,5,256,5,97.03,92.95,88.63
1000,20,10,32,1,97.42,95.5,88.63
1000,20,10,32,2,93.55,83.85,88.63
1000,20,10,32,3,94.6,82.05,88.63
1000,20,10,32,4,96.53,93.3,88.63
1000,20,10,32,5,95.74,93.6,88.63
1000,20,10,64,1,98.34,91.25,88.63
1000,20,10,64,2,96.25,74.45,88.63
1000,20,10,64,3,95.99,86.1,88.63
1000,20,10,64,4,96.21,94.6,88.63
1000,20,10,64,5,95.83,94.25,88.63
1000,20,10,128,1,98.72,94.15,88.63
1000,20,10,128,2,97.22,83.05,88.63
1000,20,10,128,3,95.86,78.15,88.63
1000,20,10,128,4,96.46,90.2,88.63
1000,20,10,128,5,95.99,94.3,88.63
1000,20,10,256,1,99.4,96.3,88.63
1000,20,10,256,2,93.4,81.1,88.63
1000,20,10,256,3,96.01,86.6,88.63
1000,20,10,256,4,96.04,85.55,88.63
1000,20,10,256,5,95.65,91.75,88.63
1000,50,2,32,1,96.87,95.1,88.63
1000,50,2,32,2,94.8,81.85,88.63
1000,50,2,32,3,95.08,85.8,88.63
1000,50,2,32,4,96.27,93.25,88.63
1000,50,2,32,5,95.43,89.3,88.63
1000,50,2,64,1,98.32,95.2,88.63
1000,50,2,64,2,96.59,79.25,88.63
1000,50,2,64,3,96.4,86.4,88.63
1000,50,2,64,4,97.4,92.9,88.63
1000,50,2,64,5,96.62,94.6,88.63
1000,50,2,128,1,97.13,97.65,88.63
1000,50,2,128,2,98.6,79.75,88.63
1000,50,2,128,3,97.79,88.5,88.63
1000,50,2,128,4,97.64,87.15,88.63
1000,50,2,128,5,97.25,93.75,88.63
1000,50,2,256,1,99.05,96.5,88.63
1000,50,2,256,2,96.88,78.45,88.63
1000,50,2,256,3,97.8,88.9,88.63
1000,50,2,256,4,97.51,92.5,88.63
1000,50,2,256,5,97.06,93.0,88.63
1000,50,5,32,1,97.14,96.8,88.63
1000,50,5,32,2,94.11,83.45,88.63
1000,50,5,32,3,94.44,89.1,88.63
1000,50,5,32,4,95.89,94.15,88.63
1000,50,5,32,5,96.15,93.3,88.63
1000,50,5,64,1,98.38,97.35,88.63
1000,50,5,64,2,96.85,77.4,88.63
1000,50,5,64,3,96.04,89.85,88.63
1000,50,5,64,4,96.54,92.95,88.63
1000,50,5,64,5,95.75,92.15,88.63
1000,50,5,128,1,99.15,96.65,88.63
1000,50,5,128,2,98.07,82.65,88.63
1000,50,5,128,3,96.62,73.85,88.63
1000,50,5,128,4,96.98,91.15,88.63
1000,50,5,128,5,96.55,89.0,88.63
1000,50,5,256,1,98.87,96.85,88.63
1000,50,5,256,2,97.52,81.55,88.63
1000,50,5,256,3,97.28,80.3,88.63
1000,50,5,256,4,95.95,91.4,88.63
1000,50,5,256,5,95.76,91.4,88.63
1000,50,10,32,1,96.97,95.75,88.63
1000,50,10,32,2,92.34,84.35,88.63
1000,50,10,32,3,93.91,92.0,88.63
1000,50,10,32,4,95.1,93.3,88.63
1000,50,10,32,5,95.35,93.9,88.63
1000,50,10,64,1,97.52,93.2,88.63
1000,50,10,64,2,96.41,80.85,88.63
1000,50,10,64,3,97.26,88.75,88.63
1000,50,10,64,4,95.97,89.8,88.63
1000,50,10,64,5,95.06,93.5,88.63
1000,50,10,128,1,99.15,96.05,88.63
1000,50,10,128,2,95.73,83.2,88.63
1000,50,10,128,3,96.23,83.3,88.63
1000,50,10,128,4,96.78,93.6,88.63
1000,50,10,128,5,96.9,88.0,88.63
1000,50,10,256,1,95.1,96.1,88.63
1000,50,10,256,2,97.05,79.55,88.63
1000,50,10,256,3,97.5,86.3,88.63
1000,50,10,256,4,97.71,91.9,88.63
1000,50,10,256,5,97.12,92.75,88.63
1000,100,2,32,1,97.57,97.3,88.63
1000,100,2,32,2,94.93,85.75,88.63
1000,100,2,32,3,95.61,90.25,88.63
1000,100,2,32,4,95.79,96.1,88.63
